timestamp_ns,height_inv_mm
0,0.808676
21309186,0.780419
42588974,0.720424
63640336,0.710252
85623557,0.731485
106271066,0.698733
127375974,0.70241
148414940,0.693882
170503550,0.691389
191766384,0.689063
212789270,0.670734
232812055,0.669333
253914153,0.636535
275894767,0.589508
297163931,0.575608
317306426,0.535867
337118582,0.512413
358536549,0.494957
380410793,0.462601
401434666,0.429879
422869431,0.400678
443191789,0.370264
463822617,0.314005
484322164,0.273112
504568038,0.230333
525670489,0.194883
546056197,0.139864
566681170,0.098955
587888136,0.033638
608313993,0.0
628557741,0.0956
648388435,0.356577
672726177,0.613772
693475700,0.753222
713682735,0.825171
734110381,0.866309
754986075,0.908188
777770363,0.918195
