timestamp_ns,height_inv_mm
0,1.49749
22417051,1.781495
44333705,1.912898
67724550,1.998245
88941603,2.033468
110906911,1.977372
134919094,1.977544
160965698,1.951748
184169602,1.951838
206815605,1.943965
227594639,1.785755
249006285,1.697681
270174604,1.640836
291567933,1.592983
312582784,1.539553
333225520,1.526688
353844396,1.528247
375254125,1.482184
396206118,1.441403
416407784,1.364251
436937098,1.26317
459554569,1.202149
480445854,1.112148
501290581,1.047983
522512184,0.950201
543893840,0.871513
567417205,0.761591
588766177,0.660165
609008906,0.593181
630313061,0.452926
651143300,0.387024
671748732,0.28773
693268757,0.214613
713794479,0.145332
735182877,0.093107
761855825,0.002961
783230822,0.0
804162420,0.23846
824923957,0.550824
845204512,1.051283
