timestamp_ns,height_inv_mm
0,1.032236
21335497,0.940041
42757703,0.832583
63275232,0.770458
84596718,0.70457
105704969,0.598408
126138931,0.552137
149723594,0.463635
169786721,0.402926
191337836,0.355685
211892592,0.284713
231755517,0.216193
253102240,0.141927
274634505,0.090729
295178161,0.034967
315390295,0.0
336345755,0.167982
359040577,0.255401
379779483,0.4703
399632508,0.878633
420761507,1.278203
441979745,1.525187
462687210,1.827907
484190128,2.033351
504803172,2.121327
526583590,2.131575
555487894,2.146932
576251617,2.081964
596348035,2.08695
616711678,2.0402
637400414,1.97054
659895543,1.82461
680547695,1.712675
701309439,1.614029
721545533,1.575464
742259874,1.524637
762377332,1.478632
782502104,1.454133
803570966,1.426125
824931719,1.383659
