timestamp_ns,height_inv_mm
0,0.499201
23038326,0.508547
45162195,0.49217
66804297,0.472477
89175045,0.448036
110843582,0.403361
132123635,0.386622
153194402,0.362533
176431336,0.349243
197690354,0.317433
218862292,0.298821
239714893,0.289811
260947013,0.266673
284546375,0.249024
305230518,0.212541
326978508,0.172634
347600652,0.128173
371338325,0.088415
392748552,0.043349
413492438,0.0
434837997,0.013681
456202349,0.155649
479779584,0.338452
500256653,0.454322
520995673,0.485288
541670810,0.552461
562400083,0.561182
582763887,0.562246
603010706,0.544349
624358223,0.502945
645964507,0.47933
666589901,0.437132
686817890,0.428424
715428753,0.402785
735988207,0.349304
756664779,0.349494
778914170,0.342358
800158674,0.346843
821094211,0.3335
842247174,0.342064
862379877,0.335056
883385618,0.329965
904447564,0.307648
