timestamp_ns,height_inv_mm
0,1.51793
22622117,1.499226
44901185,1.47244
67174115,1.474622
88014176,1.45213
109406530,1.352106
130467002,1.30054
151800995,1.248419
172673844,1.234172
192961038,1.224142
214480743,1.1811
235349732,1.183138
257556264,1.182259
278112888,1.160027
298485176,1.143417
319033238,1.069266
339413191,1.040221
362437417,0.969843
383809244,0.899919
405001147,0.818117
426292446,0.76243
446967594,0.702203
470139917,0.613372
491079514,0.529889
511011076,0.506067
531347332,0.427001
552155903,0.352402
573566008,0.268267
594099337,0.164462
614008712,0.10628
634964081,0.04
658190527,0.0
679214469,0.079409
699458855,0.420801
725033256,0.886977
745658689,1.224104
768689591,1.420377
