timestamp_ns,height_inv_mm
0,0.505916
20437123,0.477737
39994263,0.424584
60486444,0.416517
83874534,0.424646
103905199,0.371081
126056506,0.370712
146910500,0.342043
166237626,0.30061
187933608,0.27869
208731379,0.228624
229215849,0.207987
249888495,0.178111
270207080,0.12643
292670830,0.082354
312798766,0.03695
333579792,0.0
353647239,0.06023
376495841,0.238753
397373201,0.362897
418128560,0.464857
438350810,0.512457
458277075,0.54093
480068693,0.554596
500484025,0.556742
520378460,0.550906
541312530,0.529398
562398024,0.497963
585369545,0.478188
605147604,0.458567
624513691,0.43784
650308325,0.390107
671527788,0.361677
692196970,0.340459
713231192,0.326442
733269460,0.310289
753929389,0.302932
774585305,0.285332
793961246,0.27491
814000937,0.244819
834013954,0.214387
856117010,0.177296
878573789,0.126297
