timestamp_ns,height_inv_mm
0,0.625281
20412903,0.60145
40513837,0.545647
61858901,0.528227
85060945,0.518581
105902905,0.468545
127042379,0.467557
148759088,0.442953
169020765,0.396353
190814485,0.366079
211809088,0.319199
233448909,0.284941
254867740,0.219614
274945181,0.166389
296509339,0.128642
318230889,0.083536
338973609,0.029186
360154697,0.0
381697731,0.078706
402680184,0.357906
423341229,0.616388
443322273,0.742666
464464769,0.845204
486620799,0.884002
507677045,0.912526
529306259,0.914228
549605784,0.897715
570500155,0.858618
593464473,0.851146
614533577,0.83197
635922952,0.803233
656652206,0.792688
678030471,0.721803
698495089,0.67035
719610354,0.623353
740474093,0.584618
761149569,0.569696
782596552,0.552678
802944940,0.532989
823754793,0.524143
