timestamp_ns,height_inv_mm
0,0.774126
21254920,0.735977
45128761,0.644396
65341441,0.645947
86543430,0.598585
107373034,0.531726
130394104,0.500441
151359840,0.401638
172839448,0.35106
192849245,0.317253
213447914,0.184076
239844160,0.122555
259885354,0.043899
279666824,0.0
299909455,0.098358
321864591,0.400691
346053131,0.753207
366547964,0.935155
387092855,1.029792
407599617,1.079593
428252388,1.085087
448613242,1.088233
468645872,1.073203
488937322,1.035024
509873920,1.030353
532680441,1.051683
553423646,1.022788
574330380,0.956303
595315888,0.827955
615532646,0.769901
641451717,0.723469
662181631,0.723646
683836496,0.701061
704319031,0.644176
725263908,0.663764
746155097,0.560866
766020253,0.557398
786233812,0.467489
805822810,0.397182
825981125,0.34278
846394499,0.304052
866746605,0.221559
886384448,0.199257
907002995,0.1083
927033599,0.016086
