timestamp_ns,height_inv_mm
0,0.655872
23965396,0.65151
45043747,0.6187
66212426,0.624978
88214787,0.647939
111863537,0.633637
133025155,0.635942
154478782,0.585453
175790413,0.563465
196933811,0.529685
221156386,0.478946
241957348,0.449982
263082933,0.41783
283558030,0.415752
304596901,0.380767
326075354,0.362545
346703182,0.318714
367302196,0.282117
387103941,0.255052
408335413,0.202831
428502673,0.146277
448832176,0.114679
469422541,0.069661
490273644,0.024188
511430530,0.0
531654912,0.092366
552367788,0.260568
573362905,0.535793
593939077,0.691637
616638001,0.775023
637266731,0.81152
666048625,0.829863
687302551,0.815894
707945555,0.797755
728185771,0.78931
749480468,0.769433
770534454,0.729019
791401006,0.732566
814524826,0.695505
835090451,0.640773
856250419,0.645159
