timestamp_ns,height_inv_mm
0,1.819905
20494034,1.739545
41561172,1.625212
64135546,1.547029
83912180,1.47546
104612055,1.388834
125052625,1.307412
146390540,1.178692
169556960,1.081511
190232883,0.865359
210338333,0.849815
230016407,0.770068
250899153,0.684783
272510740,0.570996
292480938,0.477259
312847086,0.350487
333195938,0.289641
355148881,0.27962
375482450,0.441735
396293181,1.089502
416910125,1.577524
437436922,1.921594
461517597,2.086034
481382139,2.153707
501629688,2.171147
522658141,2.172198
542669436,2.151745
565611216,2.112624
586166074,2.08514
606777122,2.039754
627907225,1.970653
648545875,1.854621
671763313,1.786813
691909990,1.736712
711037718,1.689877
732370035,1.665086
756341885,1.645893
776334479,1.634466
797139936,1.60459
817778665,1.544099
838545492,1.497985
860653444,1.387303
880114339,1.28707
900578345,1.220226
920661770,1.137587
941197462,1.029246
962469233,0.934456
983258989,0.828537
1004019882,0.735153
1025254991,0.645342
1045051510,0.545479
1068579847,0.440436
1088955234,0.342147
1108769923,0.256747
1129380382,0.172856
1149842093,0.07066
1172715358,0.0
