timestamp_ns,height_inv_mm
0,1.774753
22188970,1.74188
42531416,1.719358
63004545,1.728015
83112673,1.697376
103302659,1.596619
127173681,1.535206
148089425,1.475957
169738378,1.4288
190713258,1.397591
211381573,1.366201
234437479,1.372438
255596958,1.353645
276455464,1.335246
297309328,1.282892
320102611,1.194548
340139398,1.137291
359918510,1.061928
380701443,0.996219
401761613,0.912423
424486198,0.840016
444485499,0.776735
463861405,0.700805
485034230,0.618386
505737533,0.537854
528866116,0.440519
550096272,0.321939
570157097,0.293668
590245116,0.214553
609608720,0.135461
631249004,0.052168
651111654,0.000796
671110504,0.0
692067674,0.212837
712637230,0.634137
740417859,1.094535
761692771,1.432015
781380240,1.65016
