timestamp_ns,height_inv_mm
0,0.178646
21065261,0.176659
41856395,0.16573
65268817,0.187537
86947287,0.184621
108431312,0.152822
129624383,0.152895
151176227,0.137136
172052365,0.1261
193421445,0.123704
213973495,0.122907
234195595,0.127361
256841677,0.112524
277628251,0.106221
297678102,0.098768
318020536,0.081739
338380554,0.071518
360985781,0.056809
382157368,0.040747
402718632,0.014394
423907633,0.0
443998098,0.003078
465423458,0.080455
486175188,0.197768
507190530,0.278987
530751111,0.343859
553565402,0.383931
578680061,0.402858
603705545,0.424456
635302879,0.409205
658447181,0.373136
680504827,0.328661
700794388,0.321036
720330592,0.309565
741095600,0.301229
763591928,0.290501
785661798,0.278158
806611525,0.271215
