timestamp_ns,height_inv_mm
0,1.771035
21519842,1.657996
42347492,1.586906
62684076,1.542765
83127194,1.522818
103372010,1.493125
124168338,1.488165
144616061,1.47319
167738951,1.448066
188810998,1.401364
209760650,1.323141
230331419,1.242989
250922040,1.183176
274419223,1.065044
295184254,1.006318
316206107,0.920679
336672048,0.841084
356542055,0.754257
379335869,0.658854
399893998,0.571239
420369926,0.484159
440155975,0.396812
459937465,0.322216
480175291,0.259738
502240840,0.18002
523934617,0.104312
544404059,0.032283
564745539,0.0
585282813,0.190457
606500187,0.595033
627682289,0.950601
648117370,1.400461
678718357,1.703577
698761732,1.889661
720051584,1.956119
740190505,1.950462
760487238,1.930783
780692857,1.96616
802472486,1.935429
