timestamp_ns,height_inv_mm
0,0.713776
21986130,0.794314
42901748,0.830252
65659001,0.84577
87376873,0.862692
107479167,0.820073
128598095,0.828198
149512540,0.813849
172300419,0.81661
193329509,0.825122
213637491,0.77425
234073655,0.741266
254641213,0.724842
277825125,0.692482
298989419,0.684626
320314725,0.678187
340473577,0.670931
361088684,0.661822
381199632,0.647088
401464869,0.62965
421270812,0.603936
441725010,0.577583
462380572,0.536647
483624395,0.515885
504322064,0.48179
525168624,0.453682
546055555,0.430003
569489740,0.380077
589606258,0.365467
608811486,0.321534
632581965,0.288343
653116936,0.245605
676603767,0.197537
697249971,0.156894
717797895,0.095733
738119711,0.061121
759376234,0.022188
780132562,0.0
800304563,0.134047
821213301,0.344165
