timestamp_ns,height_inv_mm
0,1.124947
20864952,1.077995
41670403,1.052168
62533883,1.05655
84368052,1.033946
106288243,0.985794
128728228,0.943209
149498237,0.919047
173459700,0.907975
194293730,0.897756
214954528,0.872968
235430618,0.881096
255785392,0.887975
278173916,0.879782
299064652,0.835775
319748965,0.798816
341265922,0.741146
362254553,0.701336
383861414,0.661853
405486268,0.617073
426631451,0.570285
447497433,0.535538
467716074,0.474466
488781186,0.4244
510711644,0.374216
531350938,0.311472
553343043,0.231206
576183931,0.169858
597857575,0.117364
619252045,0.059875
639442418,0.0
660601659,0.018692
682649860,0.240974
707631124,0.590262
728915836,0.937645
749581109,1.052098
772457762,1.132137
