timestamp_ns,height_inv_mm
0,1.149926
21473062,1.12681
45988486,1.086292
67198450,1.126358
87949375,1.113437
107927790,1.071525
128892009,1.036283
149880315,0.952319
170000339,0.903047
190713862,0.835039
211875040,0.774427
235336105,0.70594
255552418,0.639838
276280458,0.591335
297608577,0.524449
318745745,0.460787
341837451,0.358919
363231411,0.294127
384190164,0.231492
405111148,0.162469
425603149,0.099317
446042372,0.042862
466408440,0.0
487614857,0.030229
508593010,0.350434
530068739,0.816568
551022626,1.268696
571923582,1.474893
593204503,1.654444
614075123,1.750358
638972249,1.792785
659851768,1.812978
680402884,1.816975
701266279,1.796554
722808719,1.783139
744755773,1.79017
765460426,1.751138
785883073,1.722378
806325391,1.651168
827495215,1.60613
