timestamp_ns,height_inv_mm
0,1.744775
21496439,1.688391
42951386,1.577869
65713039,1.543576
86281084,1.513252
106707085,1.466307
128335337,1.45822
149250511,1.432959
171883719,1.419439
192346502,1.413576
212913667,1.36778
233710324,1.321733
254045098,1.234682
274709716,1.191192
295789012,1.116083
316617408,1.032036
338105046,0.943914
360710850,0.859249
382147746,0.771291
401992694,0.693055
423331789,0.63341
444622379,0.545476
467529243,0.451218
487805260,0.356069
508105582,0.267716
528875217,0.18908
550492730,0.110465
571422755,0.021231
591313406,0.0
612117058,0.128132
632850670,0.468457
654221331,0.972581
679967660,1.37817
700631297,1.612016
719992953,1.742948
