timestamp_ns,height_inv_mm
0,2.186443
21214291,2.139142
43705925,2.034346
64966193,1.970162
88551538,1.935565
110608081,1.87492
131586720,1.856188
152960026,1.819621
174894539,1.803604
195630786,1.771611
216959373,1.730637
237823552,1.683151
258622530,1.591502
281672543,1.500479
303029618,1.403138
323523246,1.321139
343697023,1.228414
363770211,1.135875
386701141,1.028434
408336773,0.91653
429322941,0.824786
450294707,0.720284
471238563,0.599698
491536690,0.48752
513036710,0.36935
533576262,0.255556
553656136,0.167965
578471733,0.045535
599231148,0.0
621739908,0.137552
642827587,0.544128
663655351,0.995608
687454123,1.42593
708427344,1.573927
871860017,1.553366
907290165,1.384999
934630483,1.245164
956340812,1.156396
980922783,1.081215
1001845225,1.05468
1021322800,1.028641
