timestamp_ns,height_inv_mm
0,1.217314
22159137,1.178309
42978324,1.150033
64237015,1.126924
87865926,1.114142
108345536,1.073038
129850577,1.034824
150301448,0.9916
171072389,0.967842
193785850,0.960305
214037118,0.948562
234637281,0.948682
255184777,0.955136
275549862,0.948196
297822727,0.931763
318271570,0.889378
338441950,0.840257
359143152,0.813535
380191447,0.760694
400457404,0.708494
421621554,0.648112
441996849,0.598852
463698093,0.555743
487506380,0.501299
508522903,0.430933
529191207,0.360791
549813425,0.318854
571242366,0.258263
594598332,0.190955
616329219,0.114146
636864123,0.033482
657408474,0.0
677599242,0.103875
698510686,0.307937
725846489,0.703168
747573527,1.076409
768247590,1.220044
791683924,1.317683
