timestamp_ns,height_inv_mm
0,0.851885
21426794,0.845569
42696752,1.006447
66471011,1.25723
87168533,1.419475
108612651,1.468768
129154161,1.526352
148974890,1.538677
169616456,1.522528
190110129,1.495907
211099130,1.455772
231205114,1.428717
252269015,1.415082
273846394,1.390531
294309685,1.37159
314104998,1.321822
335047902,1.283526
356987672,1.245727
378433181,1.224389
398684422,1.201444
418948920,1.192857
439191099,1.182457
460041959,1.169209
480061570,1.150051
500578252,1.114975
520555084,1.071876
541624799,1.020532
564314487,0.967843
585830072,0.908325
605842858,0.852549
626073499,0.805713
646683445,0.75571
668513673,0.691876
695687516,0.637856
717765976,0.551623
738707330,0.465166
760695422,0.403728
782408722,0.322371
803219674,0.240392
823214704,0.156768
844131758,0.077191
866834043,0.0
887266917,0.091624
907396876,0.238204
927626247,0.600556
