timestamp_ns,height_inv_mm
0,0.416505
21077332,0.374125
41749790,0.317087
65050596,0.293439
85821761,0.264278
105590818,0.187147
125130055,0.147291
146383511,0.101219
170011766,0.024512
190804581,0.0
211452893,0.1145
232297837,0.438513
252880070,0.769521
272557208,0.94824
292461115,1.037741
311988686,1.098504
331532752,1.115506
352160912,1.143183
372379682,1.132713
393285810,1.120064
413645940,1.115436
434444979,1.100832
454986746,1.117434
475942178,1.09373
495745777,1.022252
516398995,0.975912
536132761,0.967611
563105751,0.909132
583834754,0.907005
605740679,0.902178
627009430,0.899299
647102041,0.906432
669422779,0.889969
689780184,0.8634
710125113,0.799245
730194710,0.746786
750196434,0.714376
772260070,0.688233
