timestamp_ns,height_inv_mm
0,0.0
20171061,0.222382
41233128,0.332348
61952754,0.44684
82549406,0.530202
104310197,0.52498
124389975,0.557867
147136668,0.562365
168415214,0.547333
189324109,0.543431
211075471,0.535861
231990040,0.534171
253438466,0.526886
274470153,0.517176
295070767,0.488316
316382871,0.470675
336652464,0.461337
358422384,0.469302
379322497,0.450225
399394013,0.463078
419759410,0.466826
440076053,0.465295
460279079,0.460726
480448331,0.451219
500884190,0.431401
521759698,0.406802
542542523,0.38957
568957008,0.385997
589838367,0.370897
610226749,0.355828
630856386,0.354618
652883562,0.341426
673248433,0.306195
693358366,0.296451
713495123,0.275202
733789257,0.249622
756465155,0.219653
777403988,0.189204
