timestamp_ns,height_inv_mm
0,0.453658
21356054,0.364163
42408238,0.268285
63511126,0.1885
84193456,0.145979
104315050,0.023846
126267071,0.0
146345249,0.141223
167608560,0.574118
188643002,0.983392
208675021,1.146739
229174113,1.298279
249227039,1.377384
269778433,1.416058
290971847,1.423882
310731809,1.426765
331626356,1.398744
352092174,1.384165
372651604,1.359147
393067117,1.349675
415936416,1.333265
436101701,1.269871
458155878,1.2424
478831675,1.224208
500240138,1.201685
522741517,1.197482
543217820,1.190222
563522005,1.185666
584292451,1.179799
610604828,1.156201
631726248,1.099323
652772533,1.057542
672258866,1.025395
693136814,0.987967
714730969,0.933551
734827000,0.890342
754533925,0.852728
774250879,0.811736
794777084,0.763411
816488283,0.715617
836300222,0.641986
856167859,0.564486
