timestamp_ns,height_inv_mm
0,0.779567
21887000,0.660133
43244752,0.611827
63120004,0.553808
83635129,0.452581
104453930,0.349163
125369436,0.331933
146308869,0.249822
166013062,0.206994
186833832,0.131844
208133271,0.072837
228497537,0.15845
249949735,0.329133
269260325,0.754452
290373484,1.266965
310562724,1.647811
331278240,1.901667
352090811,1.996118
372682418,2.090329
392956823,2.118989
413470020,2.108273
433421137,2.098957
453559336,2.067993
473952237,2.021478
494098346,1.929237
516998055,1.777055
536691948,1.651184
556937619,1.575336
577644463,1.508134
597881817,1.419889
619952277,1.405191
640459822,1.375631
661025641,1.358083
682152598,1.305278
702999777,1.237026
725844688,1.139441
746570430,1.054577
767461820,0.970637
793485219,0.887153
817029127,0.789533
837464789,0.687618
857807089,0.64293
878333322,0.57695
899491937,0.498518
922329787,0.420249
942563541,0.339749
962709908,0.281771
983773634,0.213865
1004716227,0.161175
1027573399,0.086517
1049061931,0.0
1069283881,0.022228
1090031170,0.120772
