timestamp_ns,height_inv_mm
0,0.224945
21719940,0.140419
42430679,0.058998
62768538,0.0
85627538,0.099592
107189371,0.381141
127795031,0.883929
147844710,1.31399
168769085,1.641823
191957841,1.81738
213600911,1.914859
234901728,1.956661
255684204,1.981582
276207988,1.96558
296332442,1.951253
316822734,1.922998
337581043,1.933767
358803641,1.895112
379214793,1.806587
400001618,1.726709
420985008,1.66738
441926283,1.63055
462623055,1.602068
484720670,1.582388
505093947,1.586879
526329617,1.569922
546587364,1.543541
572776520,1.491842
595868938,1.39932
616694681,1.34494
637615566,1.268943
658982173,1.187383
679434870,1.100623
699805361,1.023558
720002706,0.965666
741255406,0.870101
762013906,0.793007
783087101,0.709689
803851186,0.614199
824318571,0.532343
843880423,0.444528
863675247,0.374054
886901423,0.291759
908025921,0.227761
928801832,0.216147
