timestamp_ns,height_inv_mm
0,2.495666
21221878,2.571159
42306672,2.548678
63268569,2.568659
84520986,2.54788
105747425,2.474061
129785787,2.450279
150292850,2.321498
171197659,2.179701
191003624,2.099818
212356624,2.014348
235318771,1.927799
255312169,1.870583
276102764,1.824298
296620863,1.800042
318035032,1.759405
339158502,1.712784
359838199,1.612217
379951570,1.506595
400780493,1.393416
424627634,1.275454
446107083,1.159926
466643588,1.045148
487661416,0.954737
509019434,0.875245
532295616,0.765223
552846190,0.654716
573275562,0.56456
593948897,0.463923
613790024,0.333547
635246836,0.262236
656095163,0.200639
676563935,0.128061
696142666,0.055625
716705988,0.003945
737407952,0.0
757570266,0.107964
778016197,0.45128
798435180,0.963723
818426855,1.436013
845795620,1.65095
866602027,1.966807
886878300,2.043339
908045778,2.073137
931039771,2.066431
951540343,2.024278
972901519,1.97072
