timestamp_ns,height_inv_mm
0,0.768643
20853331,0.763486
41677730,1.118518
62987459,0.899894
84374968,0.745991
104136323,0.85811
124864888,0.953067
144951468,1.038357
167722947,1.057378
188706315,1.269736
208638291,1.182675
229885601,1.368287
249787474,1.216986
271317053,0.939768
291869583,1.019699
312381438,0.887155
333209466,1.050246
353839426,0.822415
375506984,0.706747
395914121,0.708825
416619614,0.588416
437282182,0.537959
457236857,0.574034
477613236,0.535997
498158813,0.295114
517935437,0.267867
539026244,0.219045
559858303,0.177312
580081098,0.138059
601239391,0.097209
622146312,0.035076
642806356,0.003178
664961409,0.0
685009214,0.158746
709480326,0.381295
729858465,0.718867
750492106,0.867504
773609689,0.931289
793257373,0.900523
813240317,0.635321
833598946,0.758914
