timestamp_ns,height_inv_mm
0,0.340719
22228524,0.274499
45502973,0.154653
66087946,0.129172
87006883,0.093954
108147819,0.0
128779563,0.015324
151324619,0.252136
171782814,0.669507
192220786,1.033273
213774689,1.18338
234613198,1.330697
264515570,1.419809
285663194,1.465082
306553568,1.47678
329067825,1.474879
352456435,1.493092
373592171,1.482852
394347717,1.48032
415861262,1.451365
457314834,1.413475
497354909,1.32118
520771109,1.340934
547474547,1.348027
568075647,1.347074
587888686,1.359586
608279152,1.340266
628757284,1.318157
652501308,1.299405
673697886,1.273683
694592906,1.254918
716106883,1.226154
