timestamp_ns,height_inv_mm
0,1.478684
21289299,1.469642
43169545,1.436768
66539909,1.389017
87142112,1.364042
107498912,1.246994
128616686,1.157733
148286297,1.060147
170365675,0.9786
191541321,0.894213
211719677,0.808401
232612617,0.727981
253115735,0.628117
273511736,0.549897
294592739,0.478864
315310214,0.401595
335445825,0.307917
355872946,0.231776
376362177,0.147571
397184343,0.095598
417086664,0.024808
437577613,0.0
460470578,0.05716
480158041,0.384963
500968358,0.828534
521512895,1.120193
542657396,1.486509
566382969,1.715369
586665907,1.838475
607285379,1.888777
627871659,1.916745
649050089,1.897507
680707899,1.867142
703360311,1.847661
724930606,1.806844
745205752,1.709614
767472925,1.593307
788257455,1.500256
808964057,1.46878
829457781,1.418453
849748015,1.365856
872923228,1.33727
892616126,1.327621
913409100,1.292548
934134544,1.22514
