timestamp_ns,height_inv_mm
0,1.97274
20426635,1.87845
40072526,1.779815
61243291,1.702948
81984305,1.682584
102173184,1.616799
122805179,1.607416
144346902,1.54717
164776125,1.480714
185848495,1.385798
206351879,1.302453
227430314,1.175094
248440104,1.106511
269735838,0.973341
293128373,0.888274
313069026,0.799637
334549511,0.730502
354902371,0.634224
375628963,0.539538
398549459,0.390824
418497005,0.377713
439638238,0.238169
459210513,0.195253
479784792,0.144107
501099558,0.094195
521134118,0.025335
542272656,0.0
562256685,0.027435
584900463,0.297534
605834138,0.732714
626246793,1.212298
647003845,1.608042
668070221,1.820904
690867693,1.932565
711811711,1.977247
731808812,1.986763
751075735,1.94964
775421098,1.948059
799481548,1.875801
819636024,1.819747
840047887,1.679199
860363665,1.530327
880871714,1.422495
901775229,1.362816
922593266,1.289515
942664346,1.242059
962883867,1.211184
982910741,1.163276
1003454283,1.12623
1023688090,1.067759
1043409420,0.980342
1065103469,0.879986
1089392642,0.804573
1110395990,0.713944
1130981111,0.629683
