timestamp_ns,height_inv_mm
0,0.422796
21339628,0.327875
43558893,0.26837
64572234,0.447668
85945208,0.817927
107274168,1.103878
128657099,1.294627
150969056,1.387096
171679150,1.439203
192145593,1.442484
212247725,1.437786
232804966,1.419162
255581535,1.381063
277219907,1.345332
297692555,1.322796
318139414,1.292749
338996139,1.245786
361740145,1.189612
382918460,1.174674
403470177,1.160205
423679652,1.152794
444119455,1.151247
464583264,1.145978
484879744,1.144312
505835967,1.124687
527267972,1.089447
548184114,1.037277
568490043,0.989908
588049794,0.95037
609167827,0.894545
629919441,0.836241
651114814,0.782104
671484213,0.738712
697065074,0.696011
717032229,0.614906
738087523,0.55017
761184345,0.465768
782247049,0.395841
802511098,0.32371
823060553,0.241937
844164298,0.15742
865063589,0.069657
885339011,0.007773
905887265,0.0
926632540,0.265092
948120114,0.655192
