timestamp_ns,height_inv_mm
0,0.325221
20747724,0.28572
41114731,0.225623
62208639,0.228158
85279202,0.339229
106950086,0.5199
128796142,0.671416
149891596,0.72178
171409142,0.783318
193709792,0.812109
215189319,0.822716
236304173,0.79027
257017981,0.747453
280215886,0.729801
301168951,0.698773
322366017,0.685303
343343950,0.645935
364579083,0.621299
387081781,0.605802
408251495,0.591756
428046947,0.596857
448212995,0.593207
469241713,0.577833
492370943,0.580885
513198732,0.578715
534911612,0.574773
556997541,0.53913
578863876,0.496536
599636871,0.470984
620511478,0.444486
641992071,0.423486
662702542,0.380089
684253958,0.361751
711616023,0.344567
732613363,0.323048
753040063,0.284121
774249746,0.252554
795113688,0.194964
815205724,0.163164
836272900,0.118903
857758578,0.074541
879519751,0.035835
901042502,0.0
921313176,0.065322
