timestamp_ns,height_inv_mm
0,0.574816
20953845,1.016945
42078680,1.293306
62635668,1.616687
84064245,1.835024
104665939,1.891856
125221170,1.951088
146373174,1.925292
170241993,1.916287
191806928,1.881871
212454550,1.864624
232169363,1.859935
253280248,1.782495
276868404,1.675778
297967027,1.609515
319964546,1.554998
340874544,1.516153
361541712,1.479478
382421240,1.455025
403188766,1.452106
424326213,1.437061
445512548,1.397307
466075862,1.330206
486941045,1.234946
507726289,1.163689
528936840,1.081462
549586820,1.022821
573107584,0.92078
593175556,0.868564
614769429,0.78014
635914735,0.696032
656924550,0.613504
679582493,0.510155
700577519,0.423931
726130307,0.344824
746524395,0.254661
767171646,0.189846
788210192,0.12783
808849306,0.050563
829802821,0.0
850638529,0.078812
873735208,0.38619
894314818,0.861844
