timestamp_ns,height_inv_mm
0,0.277624
21049486,0.259101
41504318,0.218158
64194679,0.209248
84355173,0.206746
104182878,0.192014
123985676,0.196293
144039799,0.190176
166798283,0.172974
188319568,0.165842
209179482,0.132778
230103780,0.120559
251072123,0.105465
271948982,0.072048
291369684,0.064065
311101471,0.029172
331975201,0.028472
352733347,0.0
373865946,0.006882
394891061,0.098742
415905076,0.250653
437135371,0.388087
460196620,0.463828
481525789,0.498161
501734904,0.527624
522742968,0.540042
544099191,0.53955
565860636,0.544408
586536510,0.531201
614787790,0.522228
635183730,0.529062
657644516,0.502668
678060664,0.492029
699312125,0.459284
719714021,0.446657
740706654,0.440086
763247938,0.433263
784069546,0.432917
805052289,0.438554
