timestamp_ns,height_inv_mm
0,0.920161
20497757,0.882735
42082215,0.83548
62578684,0.837217
83922928,0.824813
104137338,0.784515
125307357,0.75709
146319243,0.72159
166186545,0.719463
186232411,0.723647
206248051,0.708549
230135026,0.71501
252141929,0.718997
272917925,0.718756
293781577,0.694511
314151582,0.660251
336189932,0.625191
357524278,0.589732
378506649,0.557184
398666904,0.542902
418686661,0.503568
441383034,0.473382
462704809,0.447216
484368600,0.415041
505485543,0.381628
527327568,0.363034
549023538,0.295561
569778665,0.236744
591148445,0.186179
611578847,0.142363
633997224,0.089299
655472609,0.035236
675970507,0.0
696130213,0.049584
719813537,0.226232
741063363,0.632901
761750052,0.833767
781342133,1.088978
