timestamp_ns,height_inv_mm
0,1.274401
21091746,1.250815
41318128,1.199527
61280113,1.199825
81595773,1.202416
103837307,1.130476
124626630,1.088335
145924155,1.050303
167228327,1.036092
188775099,1.026775
209753804,1.017541
229861308,1.021825
250146617,1.024801
270205986,1.012495
290535832,1.011344
311764121,0.973485
331270895,0.927989
351886436,0.886173
372502685,0.826259
396311829,0.784026
417060398,0.732179
436891709,0.698296
458175978,0.653599
479397094,0.608039
501824494,0.549726
522603147,0.488364
543089371,0.423712
562994072,0.361337
582921886,0.277623
605399399,0.211396
625444252,0.136682
645984195,0.054368
666529449,0.0
691277945,0.093574
712555493,0.527107
733630799,0.880983
754677209,1.027684
