timestamp_ns,height_inv_mm
0,0.512417
21501699,0.479619
42613952,0.452601
65613521,0.420639
86687793,0.428206
108055038,0.372389
129123785,0.362762
151551357,0.317763
172340071,0.2857
192997958,0.252132
213815019,0.199204
234747172,0.166418
256989717,0.134438
277440389,0.08825
298190207,0.044339
318914173,0.0
339014571,0.042717
362647465,0.263819
383007654,0.501289
402942203,0.612367
423613220,0.705841
443459295,0.762327
466145533,0.789528
485866649,0.7887
506099141,0.785389
527151192,0.764959
547253985,0.73258
580243199,0.712131
601060851,0.694666
621364027,0.676837
641406628,0.63271
663813526,0.606342
684860125,0.597474
705656899,0.591129
726810600,0.592872
746944542,0.600262
770328611,0.589903
