timestamp_ns,height_inv_mm
0,1.53011
21897263,1.409137
41957426,1.250108
64747492,1.143018
84993212,1.094099
104924674,1.24771
127172949,1.709351
148706719,2.103086
171960120,2.337954
193348712,2.452731
214680609,2.498289
235308869,2.53804
255751686,2.540261
276433876,2.518872
297940613,2.483863
318831316,2.47261
339170452,2.446073
361880918,2.374562
383030582,2.326915
403549952,2.222661
424235241,2.182708
445132649,2.098802
467983052,2.055127
488639197,2.027956
508846189,2.020316
529599538,1.992244
549077346,1.966994
571291384,1.874248
591793732,1.769828
611680260,1.719809
632197114,1.594065
652844201,1.491605
672991478,1.409105
693781317,1.302544
714026272,1.211186
743074371,1.081948
764715211,0.894579
785273891,0.790674
805874231,0.684732
826792168,0.56142
847912412,0.450203
869655306,0.313993
890003478,0.180608
910705789,0.124329
931611936,0.038755
952284649,0.0
972991997,0.030442
992979440,0.336555
1012974826,0.808772
