timestamp_ns,height_inv_mm
0,1.200989
21060477,1.168087
42255433,1.11054
64527574,1.076897
87107145,1.030774
108153766,0.961315
128121403,0.934345
148697086,0.878114
170642092,0.812427
192368485,0.780089
213395833,0.709032
233681509,0.651502
254932950,0.575314
276233432,0.499655
298067517,0.413021
318130779,0.332766
338446920,0.264033
359386943,0.170714
380041250,0.083481
401668123,0.0
422099171,0.039786
441921785,0.234859
463460513,0.663517
484816372,0.995265
505279769,1.177909
526013483,1.274896
546539246,1.315114
568215458,1.337973
591913265,1.309294
611573015,1.297742
632603712,1.266183
653310773,1.242645
674078551,1.211669
697205985,1.155725
722685691,1.093854
743832938,1.061768
765636124,1.037681
788176992,1.044575
808408463,1.022454
829797297,1.016231
850431966,1.012768
872095986,1.00321
895740542,0.948187
916046328,0.908349
937623513,0.859892
