timestamp_ns,height_inv_mm
0,0.87215
22090289,0.846068
43147961,0.788085
64510614,0.772175
85273488,0.746215
106968673,0.682092
130666548,0.667937
151207284,0.617369
172666060,0.590228
192900001,0.553916
213487600,0.507976
234258181,0.475118
253972416,0.429526
274968616,0.377961
294872678,0.33962
314492097,0.273816
335077952,0.224944
354667281,0.165455
375441529,0.105588
395573780,0.044732
416667006,0.0
436938813,0.099913
456561277,0.249203
477200242,0.521948
497205769,0.691742
519373258,0.771828
540074991,0.81811
560270704,0.839479
580592354,0.834767
600384122,0.823849
622883277,0.781345
643509822,0.753023
663505157,0.742169
686969867,0.709908
707995130,0.683423
731882148,0.600644
751779444,0.568189
771667830,0.550238
792464889,0.511449
812414864,0.499823
832732836,0.480941
852841349,0.47999
873627063,0.477986
894023032,0.450173
915217602,0.413544
