timestamp_ns,height_inv_mm
0,0.785341
21931018,0.726297
43653492,0.63708
64887822,0.575013
86228595,0.497564
107913828,0.400165
129185975,0.334114
149465473,0.261498
170406776,0.165991
191523946,0.094319
213718060,0.008442
234238607,0.0
254755421,0.219162
275694371,0.470489
299014486,0.890404
319899766,1.158871
340416095,1.333396
360328116,1.412856
380648202,1.436974
402429794,1.435862
422938896,1.425731
444044213,1.396663
465045719,1.364357
485368742,1.334499
507836684,1.29564
529202319,1.249172
550719570,1.170505
571598792,1.137638
594518504,1.130325
615173800,1.082331
635992717,1.09317
658072445,1.07836
678988998,1.08769
705934385,1.068718
725913737,0.997105
746894510,0.964597
767853530,0.890788
789835892,0.853357
810444897,0.781538
1138432887,0.641195
