timestamp_ns,height_inv_mm
0,0.676837
21192375,0.662426
42898384,0.676591
66176962,0.635341
88047623,0.66811
108712021,0.645432
129227391,0.645623
150845825,0.628983
173051644,0.608691
193765172,0.540073
215111747,0.54229
236390616,0.52568
257292683,0.519703
278214766,0.49568
299685153,0.475497
320720623,0.427801
340379770,0.388876
363151993,0.341271
383842323,0.268471
405034913,0.214411
426144327,0.157244
447887079,0.113053
470910822,0.053095
491387663,0.0
512333963,0.013206
533034518,0.196817
553928321,0.415014
574714541,0.496487
594994881,0.572409
616667400,0.60612
636820006,0.619727
660923617,0.604498
681899591,0.592427
701661108,0.569833
721237762,0.558981
741386536,0.524796
765097927,0.512796
785187834,0.491123
806484247,0.442755
826947133,0.395712
846419900,0.366591
869776177,0.342006
890891222,0.326025
