timestamp_ns,height_inv_mm
0,1.904327
20468083,1.857123
45312426,1.729138
66244999,1.677549
86578069,1.639442
107857904,1.576715
129336112,1.568596
150317055,1.530149
170546077,1.515815
190414180,1.513005
210490597,1.471861
230465295,1.435536
253568616,1.366752
274183536,1.285838
295575258,1.216578
316346333,1.131599
336904281,1.048185
356418740,0.990812
376277275,0.909189
396933526,0.824205
416346975,0.730638
435867298,0.660495
456253653,0.568479
476799302,0.460016
497351452,0.360176
518202841,0.309512
541150543,0.193246
561591294,0.139971
581698273,0.083481
602684490,0.0
622979489,0.173044
645481320,0.56546
665661314,0.89565
685141362,1.314547
706473448,1.619506
731973653,1.76487
753139359,1.830355
773281825,1.859158
792836007,1.845022
812942680,1.866493
833241239,1.848424
853873619,1.809443
873921637,1.785295
895742042,1.721052
915805152,1.662155
