timestamp_ns,height_inv_mm
0,1.522752
22093850,1.7964
46117432,1.934334
69355588,2.053864
91371523,2.043884
112427056,2.01369
133755549,2.005474
154902094,1.959487
175346698,1.908001
196865456,1.781287
217153764,1.628108
237079261,1.519858
257426225,1.480372
277258246,1.402275
297171100,1.36469
317717751,1.312314
338717205,1.304258
359401827,1.266304
379245968,1.19705
399210559,1.130162
419361706,1.083082
442663850,1.00486
463727598,0.909917
485067493,0.836162
505724211,0.754672
526465767,0.67948
547848854,0.600213
567667757,0.529866
588066384,0.486122
613640229,0.424872
634171127,0.353669
654553939,0.290427
675747265,0.225035
696448215,0.175161
716372160,0.090347
736899236,0.040307
756568622,0.0
776974112,0.009293
797388570,0.185789
818400722,0.386045
841288142,0.837561
