timestamp_ns,height_inv_mm
0,1.038151
22559026,1.005069
43222501,0.971594
64958943,0.961925
85953935,0.953244
106235160,0.886139
128071140,0.880293
148297037,0.864417
168309805,0.842154
188534951,0.842046
209397422,0.817023
231490659,0.831968
251756609,0.834788
272420667,0.826739
292802070,0.811727
313612269,0.759047
334828343,0.716413
356035964,0.679544
377690519,0.631476
399171172,0.592518
423315987,0.554239
442979098,0.523171
462801322,0.503882
483741970,0.459456
505541448,0.409169
527875198,0.345001
548369454,0.291433
568150871,0.245385
588644427,0.191935
608731424,0.130298
631979917,0.063442
652037102,0.0
671781194,0.004239
692525691,0.116585
712118908,0.445429
737330973,0.751974
758613171,0.911392
778846096,1.019149
799383563,1.03109
822172653,1.063783
